OMAC,OMAC,Asab Airfield,3,23.297616,54.221691,0,1
OMAD,AZI,Al Bateen Executive Airport,1,24.428301,54.458099,16,1
OMAF,OMAF,Futaysi Airport,2,24.378889,54.316111,0,1
OMAG,OMAG,KIZAD Airport,2,24.726505,54.832259,50,1
OMAH,OMAH,Al Hamra Auxiliary Airport,2,24.073999,52.4636,50,1
OMAJ,OMAJ,Jebel Dhanna Airport,2,24.187755,52.613934,43,1
OMAL,AAN,Al Ain International Airport,1,24.26169968,55.60919952,869,1
OMAM,DHF,Al Dhafra Air Base,1,24.24819946,54.54769897,77,1
OMAQ,OMAQ,Qarnayn Airport,2,24.93059921,52.85509872,0,1
OMAR,OMAR,Arzanah Airport,2,24.780872,52.559871,15,1
OMAS,OMAS,Das Island Airport,2,25.14620018,52.87369919,12,1
OMAZ,OMAZ,Zirku Airport,2,24.86249161,53.07714081,14,1
OMBY,XSB,Sir Bani Yas Airport,1,24.283611,52.580278,25,1
OMDB,DXB,Dubai International Airport,0,25.25279999,55.36439896,62,1
OMDM,NHD,Al Minhad Air Base,1,25.02680016,55.36619949,165,1
OMDW,DWC,Al Maktoum International Airport,0,24.896356,55.161389,114,1
OMFJ,FJR,Fujairah International Airport,1,25.11219978,56.32400131,152,1
OMRJ,OMRJ,Jazirah Airport,2,25.664957,55.774413,0,1
OMRK,RKT,Ras Al Khaimah International Airport,1,25.6135006,55.93880081,102,1
OMRS,OMRS,Al Saqr Field,2,25.752944,55.959234,2,1
OMSJ,SHJ,Sharjah International Airport,0,25.32859993,55.51720047,111,1
OMSN,OMSN,Sir Abu Nu'ayr Airport,2,25.21679,54.233447,13,1
OMUQ,OMUQ,Umm Al Quwain Airport,2,25.57715,55.65068,0,1
OOBR,RMB,Buraimi Airport,2,24.241626,55.783674,970,1
OOFQ,OOFQ,Firq Air Base,3,22.869085,57.543615,1560,1
OOIA,OOIA,Ibra Airport,2,22.73277778,58.51361111,1500,1
OOII,OOII,Ibri Airport,2,23.18626,56.43333,1069,1
OOIZ,OOIZ,Izki Air Base,2,22.892627,57.759094,1700,1
OOKB,KHS,Khasab Airport,1,26.171,56.240601,100,1
OOLK,LKW,Lekhwair Airport,2,22.804866,55.372801,354,1
OOMS,MCT,Muscat International Airport,0,23.59329987,58.28440094,48,1
OOSH,OHS,Sohar Airport,2,24.38604,56.62541,20,1
OOSQ,OOSQ,Saiq Airport,2,23.075545,57.643271,6500,1
OOSR,SUH,Sur Airport,3,22.537729,59.479766,20,1
OT62,OT63,Umm Al-Shokhot Airport,2,25.700539,51.36303,40,1
OTBD,DIA,Doha International Airport,1,25.261101,51.565102,35,1
OTBH,XJD,Al Udeid Air Base,1,25.11730003,51.31499863,130,1
OTBK,OTBK,Al Khawr Airport,2,25.629601,51.506699,6,1
OTHH,DOH,Hamad International Airport,0,25.273056,51.608056,13,1
QA-0009,QA-0009,Mesaleed Airfield,2,24.988976,51.50031,,1
QA-0012,QA-0012,Umm Garn Airport,2,25.76411,51.29276,112,1
ZDY,ZDY,Delma Airport,2,24.51,52.3352,30,1
